EURCAD,S
EURGBP,S
EURUSD,S
EURJPY,S
GBPUSD,L
GBPJPY,L
NZDCAD,S
NZDUSD,S
AUDUSD,S
AUDCAD,S
AUDCHF,L
CADJPY,L
CHFJPY,S
XAUUSD,S
